snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
197961004#,Prostatic hyperplasia NOS,304385011#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
270536001#,Prostatic hyper -benign,405217016#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
270536001#,Benign prostatic hypertrophy,405219018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
270536001#,Benign prostatic hyper.,405220012#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
367483003#,"Benign prostatic hyperplasia, NOS",492346015#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,(Benign prostate tumour (& [adenoma] or [fibroma] or [myoma]) or prostatism or benign prostatic hypertrophy,582396010#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197958000#,Prostatic hyperplasia unspecified (disorder),582398011#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197961004#,Prostatic hyperplasia NOS (disorder),582401014#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,(Benign prostate tumour (& [adenoma] or [fibroma] or [myoma]) or prostatism or benign prostatic hypertrophy (disorder),2754813010#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
444808002#,Benign localized hyperplasia of prostate (disorder),2868985015#,1,0,1,7298191000006111#,Benign localized hyperplasia of prostate,^ESCTBE729819,NA,2872878011,NA,31
444808002#,Benign localized hyperplasia of prostate (disorder),2868985015#,1,0,1,7298201000006114#,Localized BPH (benign prostatic hyperplasia),^ESCTLO729820,NA,3039275019,NA,31
444808002#,Benign localized hyperplasia of prostate (disorder),2868985015#,1,0,1,7298211000006112#,Localised BPH (benign prostatic hyperplasia),^ESCTLO729821,NA,3039320011,NA,31
444808002#,Benign localized hyperplasia of prostate (disorder),2868985015#,1,0,1,7298181000006113#,Benign localised hyperplasia of prostate,^ESCTBE729818,NA,2872877018,NA,31
444808002#,Benign localised hyperplasia of prostate,2872877018#,1,0,1,7298191000006111#,Benign localized hyperplasia of prostate,^ESCTBE729819,NA,2872878011,NA,31
444808002#,Benign localised hyperplasia of prostate,2872877018#,1,0,1,7298201000006114#,Localized BPH (benign prostatic hyperplasia),^ESCTLO729820,NA,3039275019,NA,31
444808002#,Benign localised hyperplasia of prostate,2872877018#,1,0,1,7298211000006112#,Localised BPH (benign prostatic hyperplasia),^ESCTLO729821,NA,3039320011,NA,31
444808002#,Benign localised hyperplasia of prostate,2872877018#,1,0,1,7298181000006113#,Benign localised hyperplasia of prostate,^ESCTBE729818,NA,2872877018,NA,31
444808002#,Benign localized hyperplasia of prostate,2872878011#,1,0,1,7298191000006111#,Benign localized hyperplasia of prostate,^ESCTBE729819,NA,2872878011,NA,31
444808002#,Benign localized hyperplasia of prostate,2872878011#,1,0,1,7298201000006114#,Localized BPH (benign prostatic hyperplasia),^ESCTLO729820,NA,3039275019,NA,31
444808002#,Benign localized hyperplasia of prostate,2872878011#,1,0,1,7298211000006112#,Localised BPH (benign prostatic hyperplasia),^ESCTLO729821,NA,3039320011,NA,31
444808002#,Benign localized hyperplasia of prostate,2872878011#,1,0,1,7298181000006113#,Benign localised hyperplasia of prostate,^ESCTBE729818,NA,2872877018,NA,31
1711000119101#,Nocturia associated with benign prostatic hypertrophy,2967656013#,1,0,1,7970051000006113#,Nocturia due to benign prostatic hypertrophy,^ESCTNO797005,NA,3013171017,NA,31
1711000119101#,Nocturia due to benign prostatic hypertrophy,3013171017#,1,0,1,7970051000006113#,Nocturia due to benign prostatic hypertrophy,^ESCTNO797005,NA,3013171017,NA,31
117521000119100#,Weak urinary stream due to benign prostatic hypertrophy (finding),3013211016#,1,0,1,8036871000006114#,Weak urinary stream due to benign prostatic hypertrophy,^ESCTWE803687,NA,3013224016,NA,31
117521000119100#,Weak urinary stream due to benign prostatic hypertrophy,3013224016#,1,0,1,8036871000006114#,Weak urinary stream due to benign prostatic hypertrophy,^ESCTWE803687,NA,3013224016,NA,31
1711000119101#,Nocturia due to benign prostatic hypertrophy (finding),3013235014#,1,0,1,7970051000006113#,Nocturia due to benign prostatic hypertrophy,^ESCTNO797005,NA,3013171017,NA,31
117491000119102#,Straining on urination due to benign prostatic hypertrophy (finding),3013335011#,1,0,1,8036841000006118#,Straining on urination due to benign prostatic hypertrophy,^ESCTST803684,NA,3013345013,NA,31
117491000119102#,Straining on urination due to benign prostatic hypertrophy,3013345013#,1,0,1,8036841000006118#,Straining on urination due to benign prostatic hypertrophy,^ESCTST803684,NA,3013345013,NA,31
117501000119109#,Urinary hesitancy due to benign prostatic hypertrophy (finding),3013356013#,1,0,1,8036851000006116#,Urinary hesitancy due to benign prostatic hypertrophy,^ESCTUR803685,NA,3013361010,NA,31
117501000119109#,Urinary hesitancy due to benign prostatic hypertrophy,3013361010#,1,0,1,8036851000006116#,Urinary hesitancy due to benign prostatic hypertrophy,^ESCTUR803685,NA,3013361010,NA,31
30041000119101#,Lower urinary tract symptoms due to benign prostatic hypertrophy (finding),3013446010#,1,0,1,8014281000006114#,Lower urinary tract symptoms due to benign prostatic hypertrophy,^ESCTLO801428,NA,3013451016,NA,31
30041000119101#,Lower urinary tract symptoms due to benign prostatic hypertrophy,3013451016#,1,0,1,8014281000006114#,Lower urinary tract symptoms due to benign prostatic hypertrophy,^ESCTLO801428,NA,3013451016,NA,31
117531000119102#,Urinary frequency due to benign prostatic hypertrophy,3013549018#,1,0,1,8036881000006112#,Urinary frequency due to benign prostatic hypertrophy,^ESCTUR803688,NA,3013549018,NA,31
117531000119102#,Urinary frequency due to benign prostatic hypertrophy (finding),3013560010#,1,0,1,8036881000006112#,Urinary frequency due to benign prostatic hypertrophy,^ESCTUR803688,NA,3013549018,NA,31
117551000119108#,Incomplete emptying of bladder due to benign prostatic hypertrophy,3013563012#,1,0,1,8036901000006114#,Urinary retention due to benign prostatic hypertrophy,^ESCTUR803690,NA,3013673015,NA,31
117551000119108#,Incomplete emptying of bladder due to benign prostatic hypertrophy,3013563012#,1,0,1,8036911000006112#,Incomplete emptying of bladder due to benign prostatic hypertrophy,^ESCTIN803691,NA,3013563012,NA,31
117551000119108#,Incomplete emptying of bladder due to benign prostatic hypertrophy (finding),3013569011#,1,0,1,8036901000006114#,Urinary retention due to benign prostatic hypertrophy,^ESCTUR803690,NA,3013673015,NA,31
117551000119108#,Incomplete emptying of bladder due to benign prostatic hypertrophy (finding),3013569011#,1,0,1,8036911000006112#,Incomplete emptying of bladder due to benign prostatic hypertrophy,^ESCTIN803691,NA,3013563012,NA,31
117511000119107#,Urinary urgency due to benign prostatic hypertrophy,3013590015#,1,0,1,8036861000006119#,Urinary urgency due to benign prostatic hypertrophy,^ESCTUR803686,NA,3013590015,NA,31
117511000119107#,Urinary urgency due to benign prostatic hypertrophy (finding),3013597017#,1,0,1,8036861000006119#,Urinary urgency due to benign prostatic hypertrophy,^ESCTUR803686,NA,3013590015,NA,31
117541000119106#,Urinary incontinence due to benign prostatic hypertrophy (finding),3013613010#,1,0,1,8036891000006110#,Urinary incontinence due to benign prostatic hypertrophy,^ESCTUR803689,NA,3013614016,NA,31
117541000119106#,Urinary incontinence due to benign prostatic hypertrophy,3013614016#,1,0,1,8036891000006110#,Urinary incontinence due to benign prostatic hypertrophy,^ESCTUR803689,NA,3013614016,NA,31
117551000119108#,Urinary retention due to benign prostatic hypertrophy,3013673015#,1,0,1,8036901000006114#,Urinary retention due to benign prostatic hypertrophy,^ESCTUR803690,NA,3013673015,NA,31
117551000119108#,Urinary retention due to benign prostatic hypertrophy,3013673015#,1,0,1,8036911000006112#,Incomplete emptying of bladder due to benign prostatic hypertrophy,^ESCTIN803691,NA,3013563012,NA,31
444808002#,Localized BPH (benign prostatic hyperplasia),3039275019#,1,0,1,7298191000006111#,Benign localized hyperplasia of prostate,^ESCTBE729819,NA,2872878011,NA,31
444808002#,Localized BPH (benign prostatic hyperplasia),3039275019#,1,0,1,7298201000006114#,Localized BPH (benign prostatic hyperplasia),^ESCTLO729820,NA,3039275019,NA,31
444808002#,Localized BPH (benign prostatic hyperplasia),3039275019#,1,0,1,7298211000006112#,Localised BPH (benign prostatic hyperplasia),^ESCTLO729821,NA,3039320011,NA,31
444808002#,Localized BPH (benign prostatic hyperplasia),3039275019#,1,0,1,7298181000006113#,Benign localised hyperplasia of prostate,^ESCTBE729818,NA,2872877018,NA,31
444808002#,Localised BPH (benign prostatic hyperplasia),3039320011#,1,0,1,7298191000006111#,Benign localized hyperplasia of prostate,^ESCTBE729819,NA,2872878011,NA,31
444808002#,Localised BPH (benign prostatic hyperplasia),3039320011#,1,0,1,7298201000006114#,Localized BPH (benign prostatic hyperplasia),^ESCTLO729820,NA,3039275019,NA,31
444808002#,Localised BPH (benign prostatic hyperplasia),3039320011#,1,0,1,7298211000006112#,Localised BPH (benign prostatic hyperplasia),^ESCTLO729821,NA,3039320011,NA,31
444808002#,Localised BPH (benign prostatic hyperplasia),3039320011#,1,0,1,7298181000006113#,Benign localised hyperplasia of prostate,^ESCTBE729818,NA,2872877018,NA,31
712818008#,Benign localized prostatic hyperplasia without outflow obstruction,3285631016#,1,0,1,7695881000006112#,Benign localized hyperplasia of prostate without outflow obstruction,^ESCTBE769588,NA,3286764016,NA,31
712818008#,Benign localized prostatic hyperplasia without outflow obstruction,3285631016#,1,0,1,7695871000006114#,Benign localized prostatic hyperplasia without outflow obstruction,^ESCTBE769587,NA,3285631016,NA,31
712818008#,Benign localized prostatic hyperplasia without outflow obstruction,3285631016#,1,0,1,7695861000006119#,Benign localised hyperplasia of prostate without outflow obstruction,^ESCTBE769586,NA,3286694017,NA,31
712818008#,Benign localised hyperplasia of prostate without outflow obstruction,3286694017#,1,0,1,7695881000006112#,Benign localized hyperplasia of prostate without outflow obstruction,^ESCTBE769588,NA,3286764016,NA,31
712818008#,Benign localised hyperplasia of prostate without outflow obstruction,3286694017#,1,0,1,7695871000006114#,Benign localized prostatic hyperplasia without outflow obstruction,^ESCTBE769587,NA,3285631016,NA,31
712818008#,Benign localised hyperplasia of prostate without outflow obstruction,3286694017#,1,0,1,7695861000006119#,Benign localised hyperplasia of prostate without outflow obstruction,^ESCTBE769586,NA,3286694017,NA,31
712818008#,Benign localized hyperplasia of prostate without outflow obstruction (disorder),3286761012#,1,0,1,7695881000006112#,Benign localized hyperplasia of prostate without outflow obstruction,^ESCTBE769588,NA,3286764016,NA,31
712818008#,Benign localized hyperplasia of prostate without outflow obstruction (disorder),3286761012#,1,0,1,7695871000006114#,Benign localized prostatic hyperplasia without outflow obstruction,^ESCTBE769587,NA,3285631016,NA,31
712818008#,Benign localized hyperplasia of prostate without outflow obstruction (disorder),3286761012#,1,0,1,7695861000006119#,Benign localised hyperplasia of prostate without outflow obstruction,^ESCTBE769586,NA,3286694017,NA,31
712818008#,Benign localized hyperplasia of prostate without outflow obstruction,3286764016#,1,0,1,7695881000006112#,Benign localized hyperplasia of prostate without outflow obstruction,^ESCTBE769588,NA,3286764016,NA,31
712818008#,Benign localized hyperplasia of prostate without outflow obstruction,3286764016#,1,0,1,7695871000006114#,Benign localized prostatic hyperplasia without outflow obstruction,^ESCTBE769587,NA,3285631016,NA,31
712818008#,Benign localized hyperplasia of prostate without outflow obstruction,3286764016#,1,0,1,7695861000006119#,Benign localised hyperplasia of prostate without outflow obstruction,^ESCTBE769586,NA,3286694017,NA,31
722082000#,Obstructive nephropathy due to benign prostatic hyperplasia (disorder),3330507019#,1,0,1,7827101000006117#,Obstructive nephropathy due to prostatic hypertrophy,^ESCTOB782710,NA,3330502013,NA,31
722082000#,Obstructive nephropathy due to benign prostatic hyperplasia (disorder),3330507019#,1,0,1,7827111000006119#,Obstructive nephropathy due to benign prostatic hyperplasia,^ESCTOB782711,NA,3330508012,NA,31
722082000#,Obstructive nephropathy due to benign prostatic hyperplasia,3330508012#,1,0,1,7827101000006117#,Obstructive nephropathy due to prostatic hypertrophy,^ESCTOB782710,NA,3330502013,NA,31
722082000#,Obstructive nephropathy due to benign prostatic hyperplasia,3330508012#,1,0,1,7827111000006119#,Obstructive nephropathy due to benign prostatic hyperplasia,^ESCTOB782711,NA,3330508012,NA,31
1711000119101#,Nocturia associated with benign prostatic hypertrophy (finding),13611000119111#,1,0,1,7970051000006113#,Nocturia due to benign prostatic hypertrophy,^ESCTNO797005,NA,3013171017,NA,31
