MedCodeId	term	eth16	eth5	qrisk2_cat
405067016	caribbean i./w.i./guyana (nmo)	14	2	9
937731000006115	other black or black unspecified ethnic category 2001 census	14	2	9
141601000000119	nigerian - ethnic category 2001 census	14	2	9
405064011	black caribbean/w.i./guyana	14	2	9
1968571000006117	carib/black: any other black/caribbean grp - scotland 2011	14	2	9
158371000000111	mixed black - ethnic category 2001 census	14	2	9
285951012	black - other, mixed	14	2	9
285949013	black - other asian	14	2	9
405065012	black n african/arab/iranian	14	2	9
514651000006112	black e afric asia/indo-caribb	14	2	9
285930014	black caribbean	14	2	9
411576017	black east african asian	14	2	9
459730016	black - ethnic group	14	2	9
411577014	black indo-caribbean	14	2	9
411575018	black iranian	14	2	9
157311000000119	black british - ethnic category 2001 census	14	2	9
411579012	west indian (nmo)	14	2	9
141401000000117	chinese - ethnic category 2001 census	15	3	8
1968161000006115	asian/asian brit: chinese - eng+wales ethnic cat 2011 census	15	3	8
1968331000006114	asian/asian british: chinese - ni ethnic cat 2011 census	15	3	8
1968511000006114	asian: chinese - scotland ethnic category 2011 census	15	3	8
56590016	chinese	15	3	8
1968581000006119	other ethnic grp: arab/arab scot/arab british- scotland 2011	16	3	9
1968211000006112	other ethnic group: arab - eng+wales ethnic cat 2011 census	16	3	9
4740241000006117	british ethnic minority specified (nmo)	16	3	9
411581014	north african arab (nmo)	16	3	9
141631000000113	japanese - ethnic category 2001 census	16	3	9
1968591000006116	other ethnic grp: any other ethnic grp- scotland 2011 census	16	3	9
138261000000114	iranian - ethnic category 2001 census	16	3	9
286022019	new zealand ethnic group nos	16	3	9
286018012	south east asian	16	3	9
937871000006114	mid east (excl israeli, iranian & arab) - eth cat 2001 cens	16	3	9
141411000000115	other - ethnic category 2001 census	16	3	9
456650013	vietnamese	16	3	9
286017019	other pacific ethnic group	16	3	9
138241000000113	jewish - ethnic category 2001 census	16	3	9
142901000000119	any other group - ethnic category 2001 census	16	3	9
285959014	brit. ethnic minor. spec.(nmo)	16	3	9
1968221000006116	other ethnic: any other grp - eng+wales eth cat 2011 census	16	3	9
142881000000117	buddhist - ethnic category 2001 census	16	3	9
141651000000118	malaysian - ethnic category 2001 census	16	3	9
1968391000006113	other ethnic group: any other grp- ni ethnic cat 2011 census	16	3	9
937941000006111	mauritian/seychellois/maldivian/st helena eth cat 2001census	16	3	9
1968381000006110	other ethnic group: arab - ni ethnic category 2011 census	16	3	9
405068014	n african arab/iranian (nmo)	16	3	9
138271000000119	south and central american - ethnic category 2001 census	16	3	9
285988010	other ethnic nec (nmo)	16	3	9
141641000000116	filipino - ethnic category 2001 census	16	3	9
142841000000113	kurdish - ethnic category 2001 census	16	3	9
138251000000111	arab - ethnic category 2001 census	16	3	9
4740261000006118	british ethnic minority unspecified (nmo)	16	3	9
142811000000112	north african - ethnic category 2001 census	16	3	9
142851000000111	moroccan - ethnic category 2001 census	16	3	9
411582019	iranian (nmo)	16	3	9
142891000000115	sikh - ethnic category 2001 census	16	3	9
142861000000114	latin american - ethnic category 2001 census	16	3	9
141621000000111	vietnamese - ethnic category 2001 census	16	3	9
142831000000116	israeli - ethnic category 2001 census	16	3	9
138281000000117	muslim - ethnic category 2001 census	16	3	9
286021014	other new zealand ethnic group	16	3	9
285958018	other ethnic non-mixed (nmo)	16	3	9
459785017	other ethnic group	16	3	9
285960016	brit. ethnic minor. unsp (nmo)	16	3	9
157351000000115	hindu - ethnic category 2001 census	16	3	9
6270391000006119	ethnic groups (1991 census) (united kingdom)	17	5	0
2484511000000112	ethnic category - 2011 census england and wales	17	5	0
2484551000000111	ethnic category - 2011 census northern ireland	17	5	0
253628018	o/e - ethnic origin	17	5	0
286006015	new zealand ethnic groups	17	5	0
649261000006110	ethnic groups (census)	17	5	0
286003011	ethnic groups (census) nos	17	5	0
141421000000114	ethnic category not stated - 2001 census	17	5	0
6591911000006117	ethnic groups	17	5	0
2484471000000115	ethnic category - 2011 census	17	5	0
6591901000006115	ethnicity	17	5	0
6270381000006117	ethnic groups (1991 census) (uk)	17	5	0
141291000000111	ethnic category - 2001 census	17	5	0
4740421000006111	ethnicity / related nationality data	17	5	0
253627011	o/e - ethnic group	17	5	0
2484591000000115	ethnic category - 2011 census scotland	17	5	0
456651012	ethnic group not given - patient refused	17	5	0
456652017	ethnic group not recorded	17	5	0
253635014	o/e - ethnic group nos	17	5	0
286005016	ethnicity and other related nationality data	17	5	0
6364801000006112	ethnic category	17	5	0
412260010	Country of origin	NA	NA	NA
459868012	Born in - country	NA	NA	NA
196621000006115	Arabs	16	3	9
196651000006112	RACE: Chinese	15	3	8
196661000006114	Japanese	16	3	9
196671000006119	Koreans	16	3	9
196681000006116	Mixed racial group	7	4	9
2537217015	Race: White	3	0	1
196731000006114	Unknown racial group	NA	NA	NA
196691000006118	Race not stated	NA	NA	NA
371005013	Race	NA	NA	NA
250253014	Country of origin NOS	NA	NA	NA
1968121000006114	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census	7	4	9
1968201000006114	Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census	13	2	7
286007012	New Zealand European	3	0	1
286008019	Pakeha	3	0	1
286009010	Other European in New Zealand	3	0	1
286012013	New Zealand Maori	16	3	9
507015012	Samoan	16	3	9
286013015	Cook Island Maori	16	3	9
504723011	Tongan	16	3	9
286014014	Niuean	16	3	9
286015010	Tokelauan	16	3	9
501416013	Fijian	16	3	9
550541000006110	Chinese	15	3	8
1968371000006112	Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census	13	2	7
850671000006119	Gypsies	3	0	1
1968561000006112	Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census	13	2	7
523591000000116	Yemeni	16	3	9
1158211000000111	Romanian	3	0	1
1158301000000115	Bulgarian	3	0	1
1160331000000119	Czech	3	0	1
1551471000000116	Slovak	3	0	1
133078012	Portuguese	3	0	1
1572831000000110	Nepali	11	1	5
2615361000000115	Slovak Roma	3	0	1
2615461000000111	Czech Roma	3	0	1
2615531000000117	Hungarian Roma	3	0	1
2615571000000115	Polish Roma	3	0	1
2615611000000112	Romanian Roma	3	0	1
2615691000000115	Bulgarian Roma	3	0	1
