snomedcode,term_snomed,id,search_terms,read_mapping,cam,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
53813002#,Normal diastolic arterial pulse pressure,89436016#,1,0,1,2,3372531000006111#,Normal diastolic arterial pressure,^ESCTNO337253,NA,89435017,NA,31
53813002#,Normal diastolic arterial pulse pressure,89436016#,1,0,1,2,3372541000006118#,Normal diastolic blood pressure,^ESCTNO337254,NA,89437013,NA,31
53813002#,Normal diastolic arterial pulse pressure,89436016#,1,0,1,2,3372551000006116#,Normal diastolic arterial,^ESCTNO337255,NA,89438015,NA,31
53813002#,Normal diastolic arterial,89438015#,1,0,1,2,3372531000006111#,Normal diastolic arterial pressure,^ESCTNO337253,NA,89435017,NA,31
53813002#,Normal diastolic arterial,89438015#,1,0,1,2,3372541000006118#,Normal diastolic blood pressure,^ESCTNO337254,NA,89437013,NA,31
53813002#,Normal diastolic arterial,89438015#,1,0,1,2,3372551000006116#,Normal diastolic arterial,^ESCTNO337255,NA,89438015,NA,31
53813002#,Normal diastolic arterial pressure (finding),791975010#,1,0,1,2,3372531000006111#,Normal diastolic arterial pressure,^ESCTNO337253,NA,89435017,NA,31
53813002#,Normal diastolic arterial pressure (finding),791975010#,1,0,1,2,3372541000006118#,Normal diastolic blood pressure,^ESCTNO337254,NA,89437013,NA,31
53813002#,Normal diastolic arterial pressure (finding),791975010#,1,0,1,2,3372551000006116#,Normal diastolic arterial,^ESCTNO337255,NA,89438015,NA,31
67726005#,"Diastolic blood pressure, NOS",112472017#,1,0,0,1,NA#,NA,NA,NA,NA,NA,NA
67726005#,Diastolic blood pressure,112473010#,1,0,0,1,NA#,NA,NA,NA,NA,NA,NA
140244007#,O/E - Diastolic BP reading,222166011#,1,0,0,1,NA#,NA,NA,NA,NA,NA,NA
140244007#,O/E - Diastolic BP reading,518903019#,1,0,0,1,NA#,NA,NA,NA,NA,NA,NA
174255007#,Non-invasive diastolic blood pressure,1221536017#,1,0,0,1,4660721000006115#,Non-invasive diastolic blood pressure,^ESCTNO466072,NA,1221536017,NA,31
174255007#,Non-invasive diastolic blood pressure,1221536017#,1,0,0,1,4660711000006111#,Non-invasive diastolic arterial pressure,^ESCTNO466071,NA,269956016,NA,31
251073000#,Invasive diastolic blood pressure,1224584013#,1,0,0,1,5295081000006115#,Invasive diastolic arterial pressure,^ESCTIN529508,NA,374208016,NA,31
251073000#,Invasive diastolic blood pressure,1224584013#,1,0,0,1,5295091000006117#,Invasive diastolic blood pressure,^ESCTIN529509,NA,1224584013,NA,31
140244007#,O/E - Diastolic BP reading (finding),2731267016#,1,0,0,1,NA#,NA,NA,NA,NA,NA,NA
446226005#,Diastolic blood pressure on admission (observable entity),2879860019#,1,0,0,1,7321231000006110#,Diastolic blood pressure on admission,^ESCTDI732123,NA,2883277012,NA,31
446226005#,Diastolic blood pressure on admission,2883277012#,1,0,0,1,7321231000006110#,Diastolic blood pressure on admission,^ESCTDI732123,NA,2883277012,NA,31
708507001#,Diastolic blood pressure of neonate at birth,3033275013#,1,0,0,1,7635351000006119#,Diastolic blood pressure of neonate at birth,^ESCTDI763535,NA,3033275013,NA,31
708507001#,Diastolic blood pressure of neonate at birth (observable entity),3033671013#,1,0,0,1,7635351000006119#,Diastolic blood pressure of neonate at birth,^ESCTDI763535,NA,3033275013,NA,31
1091811000000102#,NA,NA#,0,0,1,1,619931000006119#,Diastolic arterial pressure,246A,246A.00,2734671000000117,NA,2
