snomedcode,term_snomed,id,search_terms,read_mapping,cam,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
23154005#,High diastolic arterial pulse pressure,38885011#,1,0,1,2,2869191000006112#,Increased diastolic blood pressure,^ESCTIN286919,NA,38886012,NA,31
23154005#,High diastolic arterial pulse pressure,38885011#,1,0,1,2,2869211000006113#,High diastolic arterial,^ESCTHI286921,NA,38888013,NA,31
23154005#,High diastolic arterial pulse pressure,38885011#,1,0,1,2,2869171000006111#,Increased diastolic arterial pressure,^ESCTIN286917,NA,38883016,NA,31
23154005#,High diastolic arterial pulse pressure,38885011#,1,0,1,2,2869201000006110#,Increased diastolic arterial,^ESCTIN286920,NA,38887015,NA,31
23154005#,Increased diastolic arterial,38887015#,1,0,1,2,2869181000006114#,High diastolic arterial pressure,^ESCTHI286918,NA,38882014,NA,31
23154005#,Increased diastolic arterial,38887015#,1,0,1,2,2869191000006112#,Increased diastolic blood pressure,^ESCTIN286919,NA,38886012,NA,31
23154005#,Increased diastolic arterial,38887015#,1,0,1,2,2869211000006113#,High diastolic arterial,^ESCTHI286921,NA,38888013,NA,31
23154005#,Increased diastolic arterial,38887015#,1,0,1,2,2869171000006111#,Increased diastolic arterial pressure,^ESCTIN286917,NA,38883016,NA,31
23154005#,Increased diastolic arterial,38887015#,1,0,1,2,2869201000006110#,Increased diastolic arterial,^ESCTIN286920,NA,38887015,NA,31
23154005#,High diastolic arterial,38888013#,1,0,1,2,2869181000006114#,High diastolic arterial pressure,^ESCTHI286918,NA,38882014,NA,31
23154005#,High diastolic arterial,38888013#,1,0,1,2,2869191000006112#,Increased diastolic blood pressure,^ESCTIN286919,NA,38886012,NA,31
23154005#,High diastolic arterial,38888013#,1,0,1,2,2869211000006113#,High diastolic arterial,^ESCTHI286921,NA,38888013,NA,31
23154005#,High diastolic arterial,38888013#,1,0,1,2,2869171000006111#,Increased diastolic arterial pressure,^ESCTIN286917,NA,38883016,NA,31
23154005#,High diastolic arterial,38888013#,1,0,1,2,2869201000006110#,Increased diastolic arterial,^ESCTIN286920,NA,38887015,NA,31
23154005#,Increased diastolic arterial pressure (finding),752642014#,1,0,1,2,2869181000006114#,High diastolic arterial pressure,^ESCTHI286918,NA,38882014,NA,31
23154005#,Increased diastolic arterial pressure (finding),752642014#,1,0,1,2,2869191000006112#,Increased diastolic blood pressure,^ESCTIN286919,NA,38886012,NA,31
23154005#,Increased diastolic arterial pressure (finding),752642014#,1,0,1,2,2869211000006113#,High diastolic arterial,^ESCTHI286921,NA,38888013,NA,31
23154005#,Increased diastolic arterial pressure (finding),752642014#,1,0,1,2,2869171000006111#,Increased diastolic arterial pressure,^ESCTIN286917,NA,38883016,NA,31
23154005#,Increased diastolic arterial pressure (finding),752642014#,1,0,1,2,2869201000006110#,Increased diastolic arterial,^ESCTIN286920,NA,38887015,NA,31
42689008#,Low diastolic arterial pressure,71227012#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Low diastolic arterial pressure,71227012#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
42689008#,Low diastolic arterial pressure,71227012#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Low diastolic arterial pressure,71227012#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Low diastolic arterial pressure,71227012#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
42689008#,Decreased diastolic arterial pressure,71228019#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Decreased diastolic arterial pressure,71228019#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
42689008#,Decreased diastolic arterial pressure,71228019#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Decreased diastolic arterial pressure,71228019#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Decreased diastolic arterial pressure,71228019#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
42689008#,Decreased diastolic arterial pulse pressure,71229010#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Decreased diastolic arterial pulse pressure,71229010#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
42689008#,Decreased diastolic arterial pulse pressure,71229010#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Decreased diastolic arterial pulse pressure,71229010#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Decreased diastolic arterial pulse pressure,71229010#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
42689008#,Low diastolic arterial pulse pressure,71230017#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Low diastolic arterial pulse pressure,71230017#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
42689008#,Low diastolic arterial pulse pressure,71230017#,1,0,1,2,3188151000006110#,Decreased diastolic arterial,^ESCTDE318815,NA,71232013,NA,31
42689008#,Low diastolic arterial pulse pressure,71230017#,1,0,1,2,3188141000006113#,Decreased diastolic blood pressure,^ESCTDE318814,NA,71231018,NA,31
42689008#,Low diastolic arterial pulse pressure,71230017#,1,0,1,2,3188131000006115#,Low diastolic arterial pressure,^ESCTLO318813,NA,71227012,NA,31
42689008#,Decreased diastolic arterial,71232013#,1,0,1,2,3188161000006112#,Low diastolic arterial,^ESCTLO318816,NA,71233015,NA,31
42689008#,Decreased diastolic arterial,71232013#,1,0,1,2,3188121000006118#,Decreased diastolic arterial pressure,^ESCTDE318812,NA,71228019,NA,31
