MedCodeID	Term
6566811000006115	Hypertrophic polyarthritis
41281000006113	Osteoarthritis NOS
309975015	Oligoarticular osteoarthritis, unspecified, of upper arm
310010015	Osteoarthritis NOS, other specified site
6566821000006111	Osteoarthrosis
889931000006113	Osteoarthritis - ankle/foot
6566761000006110	OA - Osteoarthritis
264471000006113	Oligoarticular osteoarthritis, unspecified, of pelvis/thigh
264481000006111	Oligoarticular osteoarthritis, unspecified, of shoulder
6566771000006115	Degenerative arthritis
889911000006119	Osteoarthritis - hip joint
6566791000006119	Hypertrophic arthritis
6566831000006114	Degenerative arthropathy
265871000006111	Oligoarticular osteoarthritis, unspecified, of ankle/foot
889881000006119	Osteoarthritis - elbow joint
309987010	Osteoarthritis NOS, of unspecified site
889901000006117	Osteoarthritis - hand joint
18121000006117	Osteoarthritis NOS, of tibio-fibular joint
264501000006118	Oligoarticular osteoarthritis, unspecified, other spec sites
309976019	Oligoarticular osteoarthritis, unspecified, of forearm
31041000006113	Osteoarthritis NOS, of distal radio-ulnar joint
1776248011	Osteoarthritis
400187015	Osteoarthritis NOS, of the lower leg
400183016	Osteoarthritis NOS, of the upper arm
400182014	Osteoarthritis NOS
889891000006116	Osteoarthritis - wrist joint
310029014	Osteoarthritis NOS, of other tarsal joint
7166461000006112	Acute osteoarthritis of shoulder
7166451000006110	Acute osteoarthritis of shoulder region
7166441000006113	Acute degenerative joint disease of shoulder region
3205601000006112	Arthritis sicca
3205591000006116	Chronic osteoarthritis
3205611000006110	Arthroxerosis
400186012	Degenerative joint disease of pelvis
7308771000006118	Osteoarthritis of pelvis
80324016	Lumbosacral spondylosis without myelopathy
3279971000006119	Lumbar AND/OR sacral osteoarthritis
3364991000006115	Degenerative spinal arthritis
3364971000006116	Spinal arthritis deformans
3364981000006118	Hypertrophic spinal arthritis
3455351000006114	Osteoarthrotomy
3594941000006112	OA - Osteoarthritis of shoulder
309988017	Degenerative joint disease of shoulder region
310011016	Osteoarthritis of shoulder
3594971000006116	Osteoarthritis of shoulder region
3594951000006114	Osteoarthritis of shoulder joint
736711000006119	Localised osteoarthritis, unspecified, of shoulder region
3597211000006110	Lumbar spondylosis with myelopathy
3597221000006119	Spondylogenic compression of lumbar spinal cord
311118017	Spondylosis without myelopathy
3619871000006116	Spinal osteoarthritis
7519281000006117	Post infectious osteoarthritis
7519291000006119	Post traumatic osteoarthritis
7533251000006115	Osteoarthritis of ankle secondary to trauma
7533351000006114	Primary osteoarthritis of calcaneocuboid joint
7533341000006112	Primary calcaneocuboid osteoarthritis
7533361000006111	Osteoarthritis of calcaneocuboid joint
7533391000006115	Secondary osteoarthritis of calcaneocuboid joint
7533381000006118	Secondary calcaneocuboid osteoarthritis
7533451000006119	Osteoarthritis of calcaneocuboid joint secondary to trauma
7533441000006116	Calcaneocuboid osteoarthritis secondary to trauma
7533531000006113	Osteoarthritis of calcaneocuboid joint secondary to inflammatory arthritis
7533521000006110	Calcaneocuboid osteoarthritis secondary to inflammatory arthritis
310028018	Osteoarthritis of talonavicular joint
7533661000006115	Primary osteoarthritis of talonavicular joint
7533651000006117	Primary talonavicular osteoarthritis
7533681000006113	Secondary osteoarthritis of talonavicular joint
7533671000006110	Secondary talonavicular osteoarthritis
7533721000006118	Osteoarthritis of talonavicular joint secondary to trauma
7533711000006114	Talonavicular osteoarthritis secondary to trauma
7533751000006110	Talonavicular osteoarthritis secondary to inflammatory arthritis
7533761000006112	Osteoarthritis of talonavicular joint secondary to inflammatory arthritis
7533771000006117	Secondary osteoarthritis of first metatarsophalangeal joint
7533791000006116	Primary osteoarthritis of first MTPJ (metatarsophalangeal joint)
7533781000006119	Primary osteoarthritis of first metatarsophalangeal joint
7533811000006117	Osteoarthritis of first metatarsophalangeal joint secondary to trauma
7533821000006113	Osteoarthritis of first metatarsophalangeal joint secondary to inflammatory arthritis
7569861000006113	Secondary osteoarthritis of midfoot
7569871000006118	Osteoarthritis of midfoot
7569881000006115	Primary osteoarthritis of midfoot
7569891000006117	Osteoarthritis of midfoot secondary to trauma
7569901000006118	Osteoarthritis of midfoot secondary to inflammatory arthritis
7691671000006112	Osteoarthritis of hip due to dysplasia
2613541000006115	Secondary localized osteoarthrosis of multiple sites
2613531000006113	Secondary localised osteoarthrosis of multiple sites
7704611000006113	Degenerative arthropathy of thoracic spinal facet joint
7704591000006119	Osteoarthritis of thoracic spinal zygapophysial joint
7704601000006110	Osteoarthritis of thoracic spinal zygapophyseal joint
7704621000006117	Osteoarthritis of thoracic spinal facet joint
7704581000006117	Osteoarthritis of facet joint of thoracic spine
7710061000006113	Osteoarthritis of lumbar spinal facet joint
7710071000006118	Osteoarthritis of lumbar zygapophyseal joint
