MedCodeID,Term
1772821000006119,Idiopathic hypersomnia associated with long sleep time
7263971000006116,Idiopathic hypersomnia with long sleep time
7281111000006114,Long sleeper syndrome
7282631000006117,Sleep related hypoventilation
1772611000006114,Sleep hypoventilation
3216251000006119,Hypersomnia disorder related to a known organic factor
7365581000006118,Exploding head syndrome
3230641000006112,Middle mood insomnia
7980231000006116,Sleep disturbance in infancy
7478321000006119,Adjustment insomnia
3371721000006110,Mood insomnia
3379841000006114,Mixed insomnia
3384961000006113,"Sleep-wake schedule disorder, frequently changing type"
3412991000006118,Caffeine-induced sleep disorder
3413001000006117,Caffeine induced sleep disorder
3435601000006115,"Sedative, hypnotic AND/OR anxiolytic-induced sleep disorder"
1772841000006114,Parasomnia
3453391000006116,Parasomnia (sleep disorder)
3459351000006112,Cannot get off to sleep
3459321000006115,Difficulty falling asleep
3459311000006111,Vesperal insomnia
3459331000006117,Difficulty in sleep initiation
3459341000006110,Difficulty getting to sleep
98133013,Initial insomnia
3480581000006114,Gelineau's syndrome
3480591000006112,Narcoleptic syndrome
3480571000006111,Paroxysmal sleep
297358010,Cataplexy or narcolepsy NOS
100304016,Narcolepsy
3590271000006117,Matutinal insomnia
3590291000006116,Wakes and cannot sleep again
3590301000006115,Wakes early
3590281000006119,Early waking
3590261000006112,Terminal insomnia
111701012,Middle insomnia
3593431000006112,Interrupted sleep
3593391000006118,Difficulty staying asleep
3593401000006116,Night waking
3593441000006119,Fitful sleep
3593411000006118,Keeps waking up
3593451000006117,Difficulty in sleep maintenance
3593421000006114,Broken sleep
7501851000006111,Pulmonary hypertension due to sleep-disordered breathing
7690241000006111,Dream enactment behavior
7690231000006118,Dream enactment behaviour
147221000006110,Circadian rhythm sleep disorder of shift work type
7849401000006118,Cannabis-induced sleep disorder
7849391000006115,Sleep disorder caused by cannabis
7856961000006115,Central sleep apnoea due to substance
7856941000006119,Central sleep apnea caused by substance
7856931000006112,Central sleep apnoea caused by substance
7856951000006117,Central sleep apnea due to substance
7856981000006113,Central sleep apnea co-occurrent with Cheyne Stokes respiration
7857001000006115,Central sleep apnoea and Cheyne Stokes respiration
7856991000006111,Central sleep apnea and Cheyne Stokes respiration
7856971000006110,Central sleep apnoea co-occurrent with Cheyne Stokes respiration
7857011000006117,Central sleep apnoea without Cheyne-Stokes respiration
7857021000006113,Central sleep apnea without Cheyne-Stokes respiration
7857041000006118,Late-onset central hypoventilation with hypothalamic dysfunction
7857031000006111,Late-onset central hypoventilation co-occurrent and due to hypothalamic dysfunction
7857051000006116,Sleep-related hypoventilation caused by substance
7859821000006110,Nicotine-induced sleep disorder
7859811000006119,Sleep disorder caused by nicotine
7860451000006115,Sleep disorder caused by psychoactive substance
7860461000006118,Psychoactive substance-induced sleep disorder
7860671000006111,Chronic insomnia
7860681000006114,Behaviourally induced hypersomnia
7860691000006112,Behaviorally induced hypersomnia
7860701000006112,Hypersomnolence caused by substance
7860731000006116,Hypnogogic exploding head syndrome
7860741000006114,Recurrent isolated sleep-related hallucinations
7860751000006111,Parasomnia disorder caused by substance
3694001000006117,SAS - Sleep apnoea syndrome
3693981000006111,Sleep hypopnea
136581000006114,Sleep apnoea
3693961000006118,Sleep apnea
3693971000006113,SAS - Sleep apnea syndrome
200354014,Sleep apnoea
11989401000006115,Sleep apnoea syndrome
12702791000006116,Sleep apnoea syndrome
3694011000006119,Sleep hypopnoea
3693991000006114,Sleep apnea syndrome
3515159019,Narcolepsy type 1
3527474010,Synthetic cannabinoid-induced sleep disorder
3527473016,Sleep disorder caused by synthetic cannabinoid
3636427015,Sleep disorder caused by stimulant
3636467019,Acute insomnia
1234153012,Excessive sleep
3764071000006116,Excessive sleepiness
3764061000006111,Sleeps too much
1772801000006112,Hypersomnia
317048011,Hypersomnia
345379011,Hypersomnia NOS
3764081000006118,Hypersomnia (excessive sleeping)
3773261000006112,Obstructive sleep apnea syndrome
267911000006119,Obstructive sleep apnoea
3773271000006117,OSA - Obstructive sleep apnoea
219501000000111,Obstructive sleep apnoea
3773251000006110,Obstructive sleep apnoea syndrome
3773281000006119,OSA - Obstructive sleep apnea
3773291000006116,Obstructive sleep apnea
3789311000006111,Hypersomnia with sleep apnea
405691012,Hypersomnia with sleep apnoea
3809171000006117,Sleep walking disorder
427021000006116,[X]Sleepwalking
139641000006114,Sleepwalking
3809191000006116,Sleep walking
3809181000006119,Somnambulism
3809201000006118,Sleepwalking disorder
3811431000006110,"Sleep-wake schedule disorder, delayed phase type"
3811451000006115,"Circadian rhythm sleep disorder, delayed sleep phase type"
3811441000006117,Delayed sleep phase syndrome
3811461000006118,"Circadian rhythm sleep disorder, delayed sleep phase"
3827051000006112,Insomnia disorder related to known organic factor
3827061000006114,Organic insomnia
3853391000006114,FFI - Familial fatal insomnia
3853401000006111,Familial fatal insomnia
3853381000006111,Fatal familial insomnia
