readcode,term_readcode,category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
13uz.#,Main spoken language Mongolian,First Language Not English,673431000000112#,Main spoken language Mongolian,13uz,13uz.00,698675000,2975112014,NA,17,13uz.00#
13w0.#,Main spoken language Nauru,First Language Not English,673491000000113#,Main spoken language Nauru,13w0,13w0.00,698912007,2981717014,NA,17,13w0.00#
13w1.#,Main spoken language Nepali,First Language Not English,673551000000118#,Main spoken language Nepali,13w1,13w1.00,698676004,2975344018,NA,17,13w1.00#
13w2.#,Main spoken language Occitan,First Language Not English,673611000000118#,Main spoken language Occitan,13w2,13w2.00,698914008,2981578013,NA,17,13w2.00#
13w3.#,Main spoken language Oriya,First Language Not English,673671000000111#,Main spoken language Oriya,13w3,13w3.00,698915009,2981758019,NA,17,13w3.00#
13w4.#,Main spoken language Filipino,First Language Not English,1118721000000116#,Main spoken language Filipino,13w4,13w4.00,503511000000100,1118721000000116,NA,17,13w4.00#
13w5.#,Main spoken language Quechua,First Language Not English,673791000000115#,Main spoken language Quechua,13w5,13w5.00,698677008,2975360019,NA,17,13w5.00#
13w6.#,Main spoken language Romansh,First Language Not English,673851000000115#,Main spoken language Romansh,13w6,13w6.00,698917001,2981775013,NA,17,13w6.00#
13w7.#,Main spoken language Samoan,First Language Not English,673911000000114#,Main spoken language Samoan,13w7,13w7.00,698680009,2975155013,NA,17,13w7.00#
13w8.#,Main spoken language Sango,First Language Not English,673971000000116#,Main spoken language Sango,13w8,13w8.00,698918006,2981667014,NA,17,13w8.00#
13w9.#,Main spoken language Hindko,First Language Not English,1138281000000117#,Main spoken language Hindko,13w9,13w9.00,511841000000102,1138281000000117,NA,17,13w9.00#
13wA.#,Main spoken language Dari,First Language Not English,1661561000000112#,Main spoken language Dari,13wA,13wA.00,609093008,2959107015,NA,17,13wA.00#
13wB.#,Main spoken language Southern Sotho,First Language Not English,674151000000112#,Main spoken language Southern Sotho,13wB,13wB.00,698922001,2981794015,NA,17,13wB.00#
13wC.#,Main spoken language Tswana,First Language Not English,674211000000117#,Main spoken language Tswana,13wC,13wC.00,698684000,2975350011,NA,17,13wC.00#
13wD.#,Main spoken language Sindhi,First Language Not English,674271000000110#,Main spoken language Sindhi,13wD,13wD.00,698919003,2981509016,NA,17,13wD.00#
13wE.#,Main spoken language Ndebele,First Language Not English,662861000000117#,Main spoken language Ndebele,13wE,13wE.00,698913002,2981656013,NA,17,13wE.00#
13wF.#,Main spoken language Swati,First Language Not English,674391000000118#,Main spoken language Swati,13wF,13wF.00,698923006,2981802016,NA,17,13wF.00#
13wG.#,Main spoken language Slovenian,First Language Not English,674451000000119#,Main spoken language Slovenian,13wG,13wG.00,698921008,2981971014,NA,17,13wG.00#
13wH.#,Main spoken language Sundanese,First Language Not English,674511000000119#,Main spoken language Sundanese,13wH,13wH.00,698681008,2975219011,NA,17,13wH.00#
13wJ.#,Main spoken language Tajik,First Language Not English,674571000000112#,Main spoken language Tajik,13wJ,13wJ.00,698682001,2975433013,NA,17,13wJ.00#
13wK.#,Main spoken language Tatar,First Language Not English,674631000000111#,Main spoken language Tatar,13wK,13wK.00,698924000,2981924015,NA,17,13wK.00#
13wL.#,Main spoken language Telugu,First Language Not English,674691000000112#,Main spoken language Telugu,13wL,13wL.00,698925004,2981589018,NA,17,13wL.00#
13wM.#,Main spoken language Tibetan,First Language Not English,674751000000113#,Main spoken language Tibetan,13wM,13wM.00,698926003,2981643018,NA,17,13wM.00#
13wN.#,Main spoken language Tongan,First Language Not English,674811000000116#,Main spoken language Tongan,13wN,13wN.00,698927007,2981592019,NA,17,13wN.00#
13wP.#,Main spoken language Tsonga,First Language Not English,674871000000114#,Main spoken language Tsonga,13wP,13wP.00,698683006,2975423017,NA,17,13wP.00#
13wQ.#,Main spoken language Turkmen,First Language Not English,674931000000115#,Main spoken language Turkmen,13wQ,13wQ.00,698928002,2981671012,NA,17,13wQ.00#
13wR.#,Main spoken language Twi,First Language Not English,674991000000119#,Main spoken language Twi,13wR,13wR.00,698685004,2975318018,NA,17,13wR.00#
13wS.#,Main spoken language Uighur,First Language Not English,675051000000110#,Main spoken language Uighur,13wS,13wS.00,698929005,2981890019,NA,17,13wS.00#
13wT.#,Main spoken language Uzbek,First Language Not English,675111000000112#,Main spoken language Uzbek,13wT,13wT.00,698930000,2981753011,NA,17,13wT.00#
13wV.#,Main spoken language Tetum,First Language Not English,1658291000000118#,Main spoken language Tetum,13wV,13wV.00,609095001,2959017010,NA,17,13wV.00#
13wW.#,Main spoken language Wolof,First Language Not English,675231000000112#,Main spoken language Wolof,13wW,13wW.00,698932008,2981524013,NA,17,13wW.00#
13wX.#,Main spoken language Xhosa,First Language Not English,675291000000113#,Main spoken language Xhosa,13wX,13wX.00,698933003,2981571019,NA,17,13wX.00#
13wY.#,Main spoken language Yiddish,First Language Not English,675351000000113#,Main spoken language Yiddish,13wY,13wY.00,698934009,2981587016,NA,17,13wY.00#
13wZ.#,Main spoken language Zhuang,First Language Not English,675411000000117#,Main spoken language Zhuang,13wZ,13wZ.00,698935005,2981612013,NA,17,13wZ.00#
13wa.#,Main spoken language Zulu,First Language Not English,675471000000110#,Main spoken language Zulu,13wa,13wa.00,698936006,2981528011,NA,17,13wa.00#
13wb.#,Main spoken language Konkani,First Language Not English,1658371000000110#,Main spoken language Konkani,13wb,13wb.00,609094002,2958096014,NA,17,13wb.00#
13wc.#,Main spoken language Aragonese,First Language Not English,2112371000000116#,Main spoken language Aragonese,13wc,13wc.00,809341000000106,2112371000000116,NA,17,13wc.00#
13wd.#,Main spoken language Romany,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,13wd.#
13Z69#,First language not English,First Language Not English,2339911000000119#,First language not English,13Z69,13Z6900,910241000000102,2339911000000119,NA,17,13Z6900#
13Z67#,Speaks English well,Speaks English,251255010#,Speaks English well,13Z67,13Z6700,161147007,251255010,NA,17,13Z6700#
13l4.#,Main spoken language English,Speaks English,460087014#,Main spoken language English,13l4,13l4.00,315570003,460087014,NA,17,13l4.00#
13ZA0#,Does not speak English,Non-English speaking,NA#,NA,NA,NA,NA,NA,NA,NA,13ZA0#
13Z68#,Speaks English poorly,Non-English speaking,251256011#,Speaks English poorly,13Z68,13Z6800,161148002,251256011,NA,17,13Z6800#
XaPGb#,Main spoken language Xhosa,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGb#
XaPGX#,Main spoken language Uighur,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGX#
XaPGJ#,Main spoken language Tswana,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGJ#
XaPGP#,Main spoken language Tajik,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGP#
XaPGV#,Main spoken language Turkmen,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGV#
XaPGT#,Main spoken language Tongan,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGT#
XaPGR#,Main spoken language Telugu,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGR#
XaPGW#,Main spoken language Twi,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGW#
XaPGQ#,Main spoken language Tatar,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGQ#
XaPGU#,Main spoken language Tsonga,First Language Not English,NA#,NA,NA,NA,NA,NA,NA,NA,XaPGU#
