snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
971021000000103#,NA,First Language Not English,NA#,0,1,1,1706501000006118#,Main spoken language Volapuk,EMISNQMA78,NA,2.48E+15,NA,17
971031000000101#,NA,First Language Not English,NA#,0,1,1,8356381000006118#,Main spoken language Walloon,^ESCTMA835638,NA,8.36E+15,NA,17
971031000000101#,NA,First Language Not English,NA#,0,1,1,1706511000006115#,Main spoken language Walloon,EMISNQMA79,NA,2.47E+15,NA,17
729041000000101#,NA,First Language Not English,NA#,0,1,1,1599291000000112#,Main spoken language Chewa,ESCTMA8-1,NA,1.60E+15,NA,17
729041000000101#,NA,First Language Not English,NA#,0,1,1,1599281000000110#,Main spoken language Nyanja,ESCTMA8,NA,1.60E+15,NA,17
970941000000103#,NA,First Language Not English,NA#,0,1,1,8356291000006114#,Main spoken language Scottish Gaelic,^ESCTMA835629,NA,2.47E+15,NA,17
970961000000102#,NA,First Language Not English,NA#,0,1,1,8356301000006110#,Main spoken language Nuosu,^ESCTMA835630,NA,2.47E+15,NA,31
970961000000102#,NA,First Language Not English,NA#,0,1,1,1706231000006111#,Main spoken language Sichuan Yi,EMISNQMA51,NA,2.48E+15,NA,17
970771000000106#,NA,First Language Not English,NA#,0,1,1,1706341000006113#,Main spoken language Navajo,EMISNQMA62,NA,2.47E+15,NA,17
970771000000106#,NA,First Language Not English,NA#,0,1,1,8356131000006116#,Main spoken language Navajo,^ESCTMA835613,NA,8.36E+15,NA,17
970771000000106#,NA,First Language Not English,NA#,0,1,1,8356141000006114#,Main spoken language Navaho,^ESCTMA835614,NA,2.48E+15,NA,17
970971000000109#,NA,First Language Not English,NA#,0,1,1,1706351000006110#,Main spoken language South Ndebele,EMISNQMA63,NA,2.47E+15,NA,17
970971000000109#,NA,First Language Not English,NA#,0,1,1,8356321000006117#,Main spoken language South Ndebele,^ESCTMA835632,NA,8.36E+15,NA,17
970801000000109#,NA,First Language Not English,NA#,0,1,1,8356161000006113#,Main spoken language Northern Ndebele,^ESCTMA835616,NA,8.36E+15,NA,17
970801000000109#,NA,First Language Not English,NA#,0,1,1,1706361000006112#,Main spoken language Northern Ndebele,EMISNQMA64,NA,2.47E+15,NA,17
970801000000109#,NA,First Language Not English,NA#,0,1,1,8356171000006118#,Main spoken language North Ndebele,^ESCTMA835617,NA,2.52E+15,NA,17
970781000000108#,NA,First Language Not English,NA#,0,1,1,1706371000006117#,Main spoken language Ndonga,EMISNQMA65,NA,2.47E+15,NA,17
970781000000108#,NA,First Language Not English,NA#,0,1,1,8356151000006111#,Main spoken language Ndonga,^ESCTMA835615,NA,8.36E+15,NA,17
970831000000103#,NA,First Language Not English,NA#,0,1,1,8356211000006116#,Main spoken language Norwegian Nynorsk,^ESCTMA835621,NA,8.36E+15,NA,17
970831000000103#,NA,First Language Not English,NA#,0,1,1,1706381000006119#,Main spoken language Norwegian Nynorsk,EMISNQMA66,NA,2.47E+15,NA,17
970821000000100#,NA,First Language Not English,NA#,0,1,1,1706391000006116#,Main spoken language Norwegian Bokmal,EMISNQMA67,NA,2.48E+15,NA,17
970821000000100#,NA,First Language Not English,NA#,0,1,1,8356191000006117#,Main spoken language Norwegian Bokmal,^ESCTMA835619,NA,8.36E+15,NA,17
970821000000100#,NA,First Language Not English,NA#,0,1,1,8356201000006119#,Main spoken language Norwegian Bokm̴l,^ESCTMA835620,NA,2.47E+15,NA,17
970851000000105#,NA,First Language Not English,NA#,0,1,1,8356221000006112#,Main spoken language Ojibwa,^ESCTMA835622,NA,8.36E+15,NA,17
970851000000105#,NA,First Language Not English,NA#,0,1,1,1706411000006116#,Main spoken language Ojibwa,EMISNQMA69,NA,2.47E+15,NA,17
970871000000101#,NA,First Language Not English,NA#,0,1,1,1706421000006112#,Main spoken language Ossetian,EMISNQMA70,NA,2.47E+15,NA,17
970871000000101#,NA,First Language Not English,NA#,0,1,1,8356231000006110#,Main spoken language Ossetian,^ESCTMA835623,NA,8.36E+15,NA,17
970881000000104#,NA,First Language Not English,NA#,0,1,1,8356241000006117#,Main spoken language Pali,^ESCTMA835624,NA,8.36E+15,NA,17
970881000000104#,NA,First Language Not English,NA#,0,1,1,1706431000006110#,Main spoken language Pali,EMISNQMA71,NA,2.47E+15,NA,17
970911000000104#,NA,First Language Not English,NA#,0,1,1,1706441000006117#,Main spoken language Pushto,EMISNQMA72,NA,2.47E+15,NA,17
970921000000105#,NA,First Language Not English,NA#,0,1,1,1706451000006115#,Main spoken language Sanskrit,EMISNQMA73,NA,2.47E+15,NA,17
970921000000105#,NA,First Language Not English,NA#,0,1,1,8356271000006113#,Main spoken language Sanskrit,^ESCTMA835627,NA,8.36E+15,NA,17
970811000000106#,NA,First Language Not English,NA#,0,1,1,8356181000006115#,Main spoken language Northern Sami,^ESCTMA835618,NA,8.36E+15,NA,17
970811000000106#,NA,First Language Not English,NA#,0,1,1,1706461000006118#,Main spoken language Northern Sami,EMISNQMA74,NA,2.47E+15,NA,17
970931000000107#,NA,First Language Not English,NA#,0,1,1,1706471000006113#,Main spoken language Sardinian,EMISNQMA75,NA,2.47E+15,NA,17
970931000000107#,NA,First Language Not English,NA#,0,1,1,8356281000006111#,Main spoken language Sardinian,^ESCTMA835628,NA,8.36E+15,NA,17
729061000000100#,NA,First Language Not English,NA#,0,1,1,8228321000006112#,Main spoken language Kikuyu,^ESCTMA822832,NA,8.23E+15,NA,17
729061000000100#,NA,First Language Not English,NA#,0,1,1,1706251000006116#,Main spoken language Kikuyu,EMISNQMA53,NA,1.60E+15,NA,17
